PClass;Name;Sex;Age;Survived
first;Artagaveytia, Mr Ramon;male;71.0;false
first;Goldschmidt, Mr George B;male;71.0;false
second;Mitchell, Mr Henry Michael;male;71.0;false
first;Crosby, Captain Edward Gifford;male;70.0;false
first;Crosby, Mrs Edward Gifford (Catherine Elizabeth Halstead);female;69.0;true
first;Straus, Mr Isidor;male;67.0;false
first;Millet, Mr Francis Davis;male;65.0;false
third;Dewan, Mr Frank;male;65.0;false
first;Compton, Mrs Alexander Taylor (Mary Eliza Ingersoll);female;64.0;true
first;Fortune, Mr Mark;male;64.0;false
first;Nicholson, Mr Arthur Ernest;male;64.0;false
first;Ostby, Mr Engelhart Cornelius;male;64.0;false
first;Warren, Mr Frank Manley;male;64.0;false
second;Myles, Mr Thomas Francis;male;64.0;false
first;Andrews, Miss Kornelia Theodosia;female;63.0;true
first;Straus, Mrs Isidor (Ida Blun);female;63.0;false
third;Turkula, Mrs Hedvig;female;63.0;true
first;Stead, Mr William Thomas;male;62.0;false
first;Stone, Mrs George Nelson (Martha E);female;62.0;true
first;Ryerson, Mr Arthur Larned;male;61.0;false
first;Sutton, Mr Frederick;male;61.0;false
first;Van Derhoef, Mr Wyckoff;male;61.0;false
first;Bucknell, Mrs William Robert (Emma Eliza Ward);female;60.0;true
first;Fortune, Mrs Mark (Mary McDougald);female;60.0;true
first;Frolicher-Stehli, Mr Maxmillian;male;60.0;true
first;Warren, Mrs Frank Manley (An S Atkinson);female;60.0;true
first;Weir, Col John;male;60.0;false
first;Brown, Mrs John Murray (Caroline Lane Lamson);female;59.0;true
second;Sjostedt, Mr Ernst Adolf;male;59.0;false
third;Coxon, Mr Daniel;male;59.0;false
first;Appleton, Mrs Edward Dale (Charlotte Lamson);female;58.0;true
first;Bonnell, Miss Elizabeth;female;58.0;true
first;Cardeza, Mrs James Warburton Martinez (Charlotte Wardle Drake);female;58.0;true
first;Graham, Mrs William Thompson (Edith Junkins);female;58.0;true
first;Kent, Mr Edward Austin;male;58.0;false
first;Newell, Mr Arthur Webster;male;58.0;false
first;Spencer, Mr William Augustus;male;57.0;false
first;Wick, Mr George Dennick;male;57.0;false
second;Ashby, Mr John;male;57.0;false
second;Mack, Mrs Mary;female;57.0;false
first;Potter, Mrs Thomas, Jr (Lily Alexenia Wilson);female;56.0;true
first;Simonius-Blumer, Col Alfons;male;56.0;true
first;Smart, Mr John Montgomery;male;56.0;false
first;Smith, Mr James Clinch;male;56.0;false
first;Cornell, Mrs Robert Clifford (Malvi Helen Lamson);female;55.0;true
first;Hays, Mr Charles Melville;male;55.0;false
first;Lindstrom, Mrs Carl Johan (Sigrid Posse);female;55.0;true
first;Molson, Mr Harry Markland;male;55.0;false
first;Rothschild, Mr Martin;male;55.0;false
first;White, Mrs J Stuart (Ella Holmes);female;55.0;true
first;Gracie, Colonel Archibald IV;male;54.0;true
first;McCarthy, Mr Timothy J;male;54.0;false
first;Rothschild, Mrs Martin (Elizabeth L Barrett);female;54.0;true
first;Stengel, Mr Charles Emil Henry;male;54.0;true
first;White, Mr Percival Wayland;male;54.0;false
second;Carter, Rev Ernest Courtey;male;54.0;false
second;Moraweck, Dr Ernest;male;54.0;false
first;Candee, Mrs Edward (Helen Churchill Hungerford);female;53.0;true
first;Eustis, Miss Elizabeth Mussey;female;53.0;true
second;Hocking, Mrs Elizabeth;female;53.0;true
first;Hays, Mrs Charles Melville (Clara Jennings Gregg);female;52.0;true
first;Peuchen, Major Arthur Godfrey;male;52.0;true
first;Stephenson, Mrs Walter Bertram (Martha Eustis);female;52.0;true
first;Taussig, Mr Emil;male;52.0;false
second;Chapman, Mr Charles Henry;male;52.0;false
second;Hodges, Mr Henry Price;male;52.0;false
first;Hogeboom, Mrs John C (An Andrews);female;51.0;true
first;Williams, Mr Charles Duane;male;51.0;false
second;Bateman, Rev Robert James;male;51.0;false
third;Widegren, Mr Charles Peter;male;51.0;false
first;Baxter, Mrs James (Helene DeLaudeniere Chaput);female;50.0;true
first;Douglas, Mr Walter Dold;male;50.0;false
first;Isham, Miss Anne Elizabeth;female;50.0;false
first;Lines, Mrs Ernest H (Elizabeth Lindsey James);female;50.0;true
first;Silvey, Mr William Baird;male;50.0;false
first;Widener, Mr George Dunton;male;50.0;false
first;Widener, Mrs George Dunton (Eleanor Elkins);female;50.0;true
second;Greenberg, Mr Samuel;male;50.0;false
second;Parrish, Mrs Lutie Davis;female;50.0;true
second;Ridsdale, Miss Lucy;female;50.0;true
second;Toomey, Miss Ellen;female;50.0;true
first;Case, Mr Howard Brown;male;49.0;false
first;Duff Gordon, Sir Cosmo Edmund;male;49.0;true
first;Frauenthal, Dr Henry William;male;49.0;true
first;Goldenberg, Mr Samuel L;male;49.0;true
first;Harper, Mrs Henry Sleeper (My Haxtun);female;49.0;true
first;Ismay, Mr Joseph Bruce;male;49.0;true
first;Thayer, Mr John Borland;male;49.0;false
